league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ENG-Premier League,2021,Burnley,Ashley Barnes,1,2020,92,4422,F M S,22,1342,3,3.874067099764943,2,3.1128980834037066,0,0.8005466284230351,38,19,4,0,4.1903143133968115,1.1986288204789162
ENG-Premier League,2021,Burnley,Ashley Westwood,1,2020,92,669,M,38,3412,3,1.0059907007962465,3,1.0059907007962465,3,6.534145314246416,19,52,7,0,10.02816303446889,6.304797999560833
ENG-Premier League,2021,Burnley,Bailey Peacock-Farrell,1,2020,92,8482,GK,4,360,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0077309198677539825,0.0077309198677539825
ENG-Premier League,2021,Burnley,Ben Mee,1,2020,92,1654,D,30,2695,2,1.6194160860031843,2,1.6194160860031843,0,0.8052045041695237,22,7,3,0,2.1182813867926598,2.015906086191535
ENG-Premier League,2021,Burnley,Charlie Taylor,1,2020,92,6044,D S,29,2430,0,0.11451609525829554,0,0.11451609525829554,1,1.5903598181903362,3,12,1,0,4.609694300219417,4.193466728553176
ENG-Premier League,2021,Burnley,Chris Wood,1,2020,92,4456,F S,33,2765,12,12.954142516478896,10,11.431802516803145,3,2.038118289783597,70,23,0,0,13.58528614230454,2.1498528448864818
ENG-Premier League,2021,Burnley,Dale Stephens,1,2020,92,6051,M S,7,258,0,0.08226919732987881,0,0.08226919732987881,0,0.0,3,0,1,0,0.24124889820814133,0.15897969901561737
ENG-Premier League,2021,Burnley,Dwight McNeil,1,2020,92,6756,M S,36,3075,2,1.080685398541391,2,1.080685398541391,5,5.477007370442152,27,47,1,0,6.948604315519333,3.6068121027201414
ENG-Premier League,2021,Burnley,Erik Pieters,1,2020,92,887,D M S,20,1259,0,0.15116787049919367,0,0.15116787049919367,1,0.36361539363861084,4,5,1,0,1.9328868268057704,1.5527143124490976
ENG-Premier League,2021,Burnley,Jack Cork,1,2020,92,712,M S,16,1355,0,0.19732670206576586,0,0.19732670206576586,0,0.3305272376164794,5,8,2,0,2.8145491192117333,2.498658921569586
ENG-Premier League,2021,Burnley,James Tarkowski,1,2020,92,1665,D,36,3240,1,3.0608745152130723,1,3.0608745152130723,0,0.9441512934863567,23,12,6,0,3.0737211741507053,2.8856543730944395
ENG-Premier League,2021,Burnley,Jay Rodriguez,1,2020,92,844,F M S,31,1237,1,2.977034335024655,1,2.977034335024655,2,1.210919912904501,31,6,3,0,4.231585918925703,0.913431984372437
ENG-Premier League,2021,Burnley,Jimmy Dunne,1,2020,92,8481,D,3,270,1,0.4191067963838577,1,0.4191067963838577,0,0.10200029984116554,7,2,1,0,0.10443910025060177,0.0430356003344059
ENG-Premier League,2021,Burnley,Joel Mumbongo,1,2020,92,8566,S,4,33,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0
ENG-Premier League,2021,Burnley,Johann Berg Gudmundsson,1,2020,92,1663,M S,22,1369,2,1.5335707571357489,2,1.5335707571357489,0,0.9595046062022448,19,10,2,0,3.6138847433030605,1.325503310188651
ENG-Premier League,2021,Burnley,Josh Benson,1,2020,92,7383,M S,6,257,0,0.2044139951467514,0,0.2044139951467514,0,0.0,2,0,0,0,0.15730180218815804,0.13246959820389748
ENG-Premier League,2021,Burnley,Josh Brownhill,1,2020,92,8323,M S,33,2818,0,1.5182226011529565,0,1.5182226011529565,1,0.8824938023462892,34,19,2,0,5.996075024828315,4.790277905762196
ENG-Premier League,2021,Burnley,Kevin Long,1,2020,92,1747,D S,8,635,0,0.6100035086274147,0,0.6100035086274147,0,0.017368000000715256,2,1,2,0,0.5022359061986208,0.5022359061986208
ENG-Premier League,2021,Burnley,Lewis Richardson,1,2020,92,9082,S,2,2,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2021,Burnley,Matej Vydra,1,2020,92,1017,F S,28,1363,3,5.373273886740208,3,5.373273886740208,2,2.1183415008708835,35,14,0,0,6.4258578307926655,1.0472039058804512
ENG-Premier League,2021,Burnley,Matthew Lowton,1,2020,92,1652,D,34,3060,1,0.7594853155314922,1,0.7594853155314922,1,2.7722550611943007,21,26,5,0,6.366659976541996,3.579444417729974
